"","assembly","dipcall_contig","Filter","Subtype","Subset","INDEL.QUERY.FP","INDEL.Subset.IS_CONF.Size","INDEL.FP.gt","INDEL.FP.al","INDEL.Recall","INDEL.TRUTH.TOTAL","INDEL.TRUTH.TP","INDEL.TRUTH.TP.het","INDEL.TRUTH.TP.homalt","INDEL.TRUTH.TOTAL.het","INDEL.TRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL.het","INDEL.ntTRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL","SNP.QUERY.FP","SNP.Subset.IS_CONF.Size","SNP.FP.gt","SNP.FP.al","SNP.Recall","SNP.TRUTH.TOTAL","SNP.TRUTH.TP","SNP.TRUTH.TP.het","SNP.TRUTH.TP.homalt","SNP.TRUTH.TOTAL.het","SNP.TRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL.het","SNP.ntTRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL","QV_dip_snp","QV_dip_indel","QV_dip_snp_indel","QV_hap_snp","QV_ignoreGT_snp","QV_hap_indel","QV_ignoreGT_indel","QV_hap_snp_indel","QV_ignoreGT_snp_indel","SNP.Recall_ignoreGT","INDEL.Recall_ignoreGT","SNP.Recall.het","SNP.Recall.hom","INDEL.Recall.het","INDEL.Recall.hom","SNP.Recall.het.TOTALnontarget","SNP.Recall.hom.TOTALnontarget","INDEL.Recall.het.TOTALnontarget","INDEL.Recall.hom.TOTALnontarget","SNP.Recall_ignoreGT.TOTALnontarget","SNP.Recall.TOTALnontarget"
"277","asm22ab",50,"PASS","*","GRCh38_notinalldifficultregions.bed.gz",22007,2135763155,1194,2318,0.984764,156472,154088,90948,63032,93147,63216,93380,63441,156930,18487,2135763155,15024,338,0.98926,2729433,2700119,1648291,1051075,1676078,1052586,1679812,1056227,2736810,53.6371664447549,52.8802224224584,50.2319240717164,61.3573306401658,60.9113059414721,53.6352875004526,53.1224840147053,52.9572739607938,52.4540595687824,0.994764480388418,0.992394805460402,0.983421415948422,0.998564487842324,0.983421415948422,0.998564487842324,0.981235400151922,0.995122260650409,0.981235400151922,0.995122260650409,0.992083118667354,0.986593515808551
"278","asm22ab",50,"PASS","*","GRCh38_notinalllowmapandsegdupregions.bed.gz",44742,2397123053,9777,7114,0.968127,506629,490481,275251,184449,285805,186116,286562,186844,508214,22156,2397123053,17456,710,0.989071,3096750,3062905,1870268,1191506,1902189,1193409,1906551,1197598,3105305,53.3522896770242,50.3000493070277,48.553071899959,60.7974742849032,60.0862246624135,52.3587953089047,51.3708679160081,51.7773362542355,50.8231286555487,0.99470767740373,0.987424723022172,0.983218807384545,0.998405408372151,0.983218807384545,0.998405408372151,0.980969300060686,0.994913151157567,0.980969300060686,0.994913151157567,0.991967294677979,0.986345946694447
"279","asm22ab",50,"PASS","*","GRCh38_notinsegdups.bed.gz",45821,2458512497,9842,7269,0.968318,513471,497203,279232,187126,289889,188805,290666,189541,515084,23756,2458512497,18332,780,0.989025,3234274,3198779,1953137,1244418,1986573,1246452,1991303,1250928,3243484,53.1592909927694,50.3063785285869,48.4923671684451,60.2481020481539,59.5738273502292,52.3366922338542,51.3565332748154,51.6855449145972,50.7467060528658,0.994693399507896,0.987485174430494,0.983169005115845,0.998368168208643,0.983169005115845,0.998368168208643,0.980833655149417,0.9947958635509,0.980833655149417,0.9947958635509,0.991868928596534,0.986216981492741
"280","asm22ab",50,"PASS","*","GRCh38_segdups.bed.gz",24426,83882512,576,3078,0.855725,7957,6809,3852,2758,4551,3134,6033,4481,10851,174701,83882512,5601,15978,0.872348,86681,75616,43230,32343,51057,35576,69276,51902,121232,29.8240603239551,38.3684907055265,29.2557127249972,30.3966383031702,29.9655781571795,39.0722310939268,38.4721303993956,29.8441682585493,29.3925664040828,0.936964271293594,0.928113610657283,0.846700746224808,0.90912412862604,0.846700746224808,0.90912412862604,0.624025636584098,0.623155177064468,0.624025636584098,0.623155177064468,0.669930381417448,0.623729708327834
"281","asm23ab",50,"PASS","*","*",226175,2546921692,24882,43798,0.912346,507291,462825,257219,180752,284225,188926,296720,194170,526110,56125,2546921692,18508,5987,0.987029,3230208,3188309,1928314,1258787,1967888,1261089,2060625,1303404,3365336,49.5788923394441,43.5260098896705,42.5633470980887,52.0694639604006,51.3166143085619,45.0977881717542,44.0321691547266,44.3029664692454,43.2881125966289,0.992758670649073,0.961394938999509,0.979890115697641,0.998174593545737,0.979890115697641,0.998174593545737,0.935790840157719,0.965768863683094,0.935790840157719,0.965768863683094,0.952896530985316,0.947396931539674
"282","asm23ab",50,"PASS","*","GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",87770,62855668,17650,20708,0.864571,222470,192341,104545,76495,122547,83978,127691,86041,230206,5487,62855668,1191,2395,0.968106,96287,93216,56071,37090,58585,37641,61108,38714,99886,43.6003948169248,31.5602834353197,31.2969300143706,48.2039232502312,44.6631016919706,34.0554200914092,32.5353253446681,33.8914703558713,32.2770811972112,0.980475038167146,0.943907043646334,0.957087991806777,0.985361706649664,0.957087991806777,0.985361706649664,0.917572167310336,0.958051350932479,0.917572167310336,0.958051350932479,0.94514746811365,0.933223875217748
"283","asm23ab",50,"PASS","*","GRCh38_HG002_GIABv4.1_notin_complexandSVs_alldifficultregions.bed.gz",100982,2122523460,1174,12266,0.981644,140663,138081,80861,57220,83335,57328,86734,58696,145430,13632,2122523460,11730,513,0.989569,2429723,2404379,1458039,946340,1482848,946875,1541611,969972,2511583,54.9332291738926,46.2363852694358,45.6864482524866,64.8518024907427,63.4867198221049,46.8566603045298,46.2871714173484,46.788293189694,46.2051884049961,0.994396892156019,0.989990260409632,0.983269357344785,0.99943498349835,0.983269357344785,0.99943498349835,0.945789177684902,0.975636410123179,0.945789177684902,0.975636410123179,0.961986524036833,0.957316162754725
"284","asm23ab",50,"PASS","*","GRCh38_MHC.bed.gz",325,4664474,30,99,0.963605,1731,1668,985,547,1010,561,1045,574,1787,52,4664474,33,13,0.995771,19155,19074,11658,7150,11727,7160,12265,7369,19917,52.5382932866964,44.5794931132556,43.9349132209865,61.916814219208,56.9107907135161,46.7757660094796,45.0001065632628,46.6448130285782,44.7290302423122,0.997494126859828,0.980935875216638,0.994116142235866,0.998603351955307,0.994116142235866,0.998603351955307,0.950509580105993,0.970280906500204,0.950509580105993,0.970280906500204,0.959331224582015,0.957674348546468
"285","asm23ab",50,"PASS","*","GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",138533,2479539345,7260,23155,0.949575,285612,271210,153172,104379,162203,105074,169574,108261,296728,50639,2479539345,17317,3593,0.98761,3133927,3095099,1872245,1221699,1909305,1223450,1999519,1264692,3265456,49.9091587886351,45.5384776049046,44.1854414427395,52.2222069866783,51.7266993962419,46.6150299628461,45.7722558932446,45.5600368079153,44.7898436141736,0.993136087726357,0.974994047869137,0.98058979576338,0.998568801340472,0.98058979576338,0.998568801340472,0.936347691619835,0.966005161731078,0.936347691619835,0.966005161731078,0.953133651165411,0.947830563327143
"286","asm23ab",50,"PASS","*","GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz",121663,2420923006,1540,15874,0.980037,179579,175994,102565,73265,105909,73502,111015,75821,187013,48333,2420923006,16622,2793,0.987702,3054164,3016604,1824246,1191230,1860120,1192900,1948007,1232905,3182125,50.0076722083874,45.9985245199663,44.5457227064501,52.2384271982198,51.8380103557729,46.6693907547786,46.0538480330233,45.606143571853,45.0364193973295,0.993144441490372,0.988612254216807,0.980714147474356,0.998600050297594,0.980714147474356,0.998600050297594,0.936467887435723,0.96619772001898,0.936467887435723,0.96619772001898,0.953207683544801,0.94798413010174
"287","asm23ab",50,"PASS","*","GRCh38_notinalldifficultregions.bed.gz",102168,2135763153,1243,13153,0.981252,151746,148901,86989,61810,89662,61979,93382,63479,156970,14579,2135763153,12595,584,0.989677,2646666,2619345,1588229,1030395,1614880,1031055,1679831,1056615,2737217,54.6685534933108,46.2126819340124,45.6333735579646,64.8445504961174,63.3304141747182,46.8722709085195,46.2658432720763,46.8035457793686,46.1812972724849,0.994436018749627,0.989442884820687,0.983496606559001,0.99935987895893,0.983496606559001,0.99935987895893,0.945469514492827,0.975184906517511,0.945469514492827,0.975184906517511,0.961538672308407,0.956937283379433
